"","microRNA 4640(MIR4640)","replication factor C subunit 2(RFC2)","heat shock protein family A (Hsp70) member 6(HSPA6)","paired box 8(PAX8)","guanylate cyclase activator 1A(GUCA1A)","microRNA 5193(MIR5193)","thyroid hormone receptor, alpha(THRA)","protein tyrosine phosphatase, non-receptor type 21(PTPN21)","C-C motif chemokine ligand 5(CCL5)","cytochrome P450 family 2 subfamily E member 1(CYP2E1)","geo_accession","is_S"
"1",498.2015381,18.62657738,16.910532,173.2608337,13.72800446,76.01018524,77.46409607,-29.34790039,-21.19283485,27.23524475,"GSM545725",FALSE
"2",985.9133911,24.04087257,25.45580482,188.395874,1.62233603,95.61235809,79.70407867,-41.36983871,-5.269315243,29.20308876,"GSM545726",FALSE
"3",276.2528076,44.54290771,25.16667366,201.5498047,11.40202141,60.68049622,64.7587738,-23.09885788,-10.81641579,13.80398083,"GSM545727",FALSE
"4",604.8515625,34.46784973,22.92121887,184.7955475,4.414655685,59.75390244,85.13156891,-36.00951767,-8.755239487,37.33859253,"GSM545728",FALSE
"5",772.8753052,30.63753891,62.58588028,197.9275055,-12.56392765,76.55189514,88.04096985,-38.82154846,-23.01565552,9.380482674,"GSM545729",FALSE
"6",435.5490112,28.4169426,27.27503204,180.6554871,13.96155548,82.49774933,59.54681015,-21.72506142,-12.83800793,46.67616653,"GSM545730",FALSE
"7",674.5924683,32.67318344,37.19657135,154.4756775,4.430770397,58.29849243,63.38617325,-25.87446213,-9.521486282,25.88197136,"GSM545731",FALSE
"8",412.0336304,34.88131714,21.26817703,208.4444122,15.70896244,98.01735687,54.57497406,-11.49011612,-8.935623169,54.53527451,"GSM545732",FALSE
"9",417.5358582,30.67131615,20.74784279,224.9698334,3.698507071,40.25036621,59.27105331,-34.11355972,1.841457129,35.97358322,"GSM545733",FALSE
"10",409.8012695,33.1763649,18.58397102,180.3710938,19.56502151,63.00697327,47.85634232,-10.29602242,-7.739697933,47.78984451,"GSM545734",FALSE
"11",362.197998,36.68967438,23.31538582,173.0172729,34.12567902,42.1234169,68.22716522,-12.41479588,-9.114938736,47.53038406,"GSM545735",FALSE
"12",594.043396,28.34482956,32.08452606,165.7334442,8.963453293,28.07988739,52.70583344,-18.121418,0.92889595,32.72657776,"GSM545736",FALSE
"13",421.4259033,37.77858353,26.36239433,201.1604614,9.10727787,55.46428299,71.12228394,-30.52014732,-16.4138813,35.93960953,"GSM545737",FALSE
"14",349.7441406,23.36935425,38.38851547,187.9837952,24.68358803,52.72396469,53.27460098,-17.31346321,-11.86610222,20.05854607,"GSM545738",FALSE
"15",509.2982178,44.79183197,24.18815804,165.0680084,7.480748653,51.56502151,61.45540619,-29.31765175,-7.211764336,27.10736847,"GSM545739",FALSE
"16",391.1467896,28.8693924,29.53639793,246.7901764,6.701962948,49.41496277,48.99861145,-18.31911278,-0.407941729,38.40987396,"GSM545740",FALSE
"17",412.2215271,19.31868553,26.98734283,162.9382782,13.24092102,59.13054657,70.13076019,-34.02280426,-5.960556984,39.31442642,"GSM545741",FALSE
"18",379.2048035,41.38653946,34.44469452,200.8145752,10.35732269,59.9120369,67.60740662,-24.83491898,-16.0091877,39.82499313,"GSM545742",FALSE
"19",298.343689,39.71080017,32.85991287,166.4580994,13.47820759,45.6268692,47.4344635,-34.03685379,-9.326442719,26.64639091,"GSM545743",FALSE
"20",482.4169006,48.52153015,35.7714386,225.6464386,18.59230232,77.38195038,90.43508911,-19.21345711,-10.52163315,27.90778923,"GSM545744",TRUE
"21",351.0551453,27.7668457,38.23685837,159.3499298,-2.151161194,61.54750824,54.68796921,-34.09642792,-9.207047463,43.54992294,"GSM545745",TRUE
"22",368.5896912,26.67942238,43.59107208,197.7821198,16.75263977,53.83535004,84.31443024,-22.51455498,-8.431820869,37.30093002,"GSM545746",TRUE
"23",604.0820313,10.13940811,14.58859825,159.9846039,6.87282753,49.37568665,76.57467651,-11.55163574,-12.35573673,24.67466354,"GSM545747",TRUE
"24",519.2919312,34.83784866,19.17258453,233.9626465,4.037290096,62.13044357,76.17899323,-20.22125816,-9.872945786,47.86653137,"GSM545748",TRUE
"25",447.0811768,39.69112015,23.31719399,226.2288971,17.95771027,66.8769455,64.88246155,-8.423218727,-12.62184334,36.71429825,"GSM545749",TRUE
"26",481.1350098,56.49837112,24.53764725,206.0129395,22.24235725,58.79042816,65.94593048,-28.96415329,-9.43672657,38.88199615,"GSM545750",TRUE
"27",610.21521,33.95554733,52.43911362,210.84375,-3.074838638,61.99732208,78.72462463,-46.50715256,-0.003104048,18.20061684,"GSM545751",TRUE
"28",444.8995056,37.50060654,35.23755646,202.6605225,30.38082314,46.19459915,52.9863205,-15.61190796,-12.51014328,16.37349701,"GSM545752",TRUE
"29",358.8798523,37.87538147,18.60409927,183.661087,11.8632412,68.28536224,68.34022522,-26.4947567,-6.653008461,26.4846859,"GSM545753",TRUE
"30",411.8264771,33.62352371,23.87688255,176.982605,21.35640335,54.64836502,66.360466,1.364135981,-12.58433914,30.13000488,"GSM545754",TRUE
"31",495.0358276,34.56344986,25.15282249,279.8685303,43.16657639,63.98208237,74.98129272,-33.95168686,-10.58065033,38.5236702,"GSM545755",TRUE
"32",310.4902344,28.12905121,28.44428062,203.5269623,16.19993973,61.13019943,56.8285408,-36.99612045,-10.97863102,33.52318954,"GSM545756",TRUE
"33",419.1419678,33.06466675,23.93297768,247.8040466,16.05506897,64.23866272,71.86804199,-29.02487373,-18.74177361,47.00350189,"GSM545757",TRUE
"34",439.5588989,18.82079124,29.72678185,205.7268982,8.862639427,60.32226944,74.14933777,-25.45968246,-22.99683571,12.80110645,"GSM545758",TRUE
